date,month,year,transaction,amount,sub_category,category
2023-01-25,2023-1-1,2023-1-1,expense,5500,rent,housing
2023-02-25,2023-2-1,2023-1-1,expense,5500,rent,housing
2023-03-25,2023-3-1,2023-1-1,expense,5500,rent,housing
2023-04-25,2023-4-1,2023-1-1,expense,5500,rent,housing
2023-05-25,2023-5-1,2023-1-1,expense,5500,rent,housing
2023-06-25,2023-6-1,2023-1-1,expense,5500,rent,housing
2023-07-25,2023-7-1,2023-1-1,expense,5500,rent,housing
2023-08-25,2023-8-1,2023-1-1,expense,5500,rent,housing
2023-09-25,2023-9-1,2023-1-1,expense,5500,rent,housing
2023-10-25,2023-10-1,2023-1-1,expense,5500,rent,housing
2023-11-25,2023-11-1,2023-1-1,expense,5500,rent,housing
2023-12-25,2023-12-1,2023-1-1,expense,5500,rent,housing
2023-01-25,2023-1-1,2023-1-1,expense,404,utilities,housing
2023-02-25,2023-2-1,2023-1-1,expense,467,utilities,housing
2023-03-25,2023-3-1,2023-1-1,expense,475,utilities,housing
2023-04-25,2023-4-1,2023-1-1,expense,423,utilities,housing
2023-05-25,2023-5-1,2023-1-1,expense,472,utilities,housing
2023-06-25,2023-6-1,2023-1-1,expense,446,utilities,housing
2023-07-25,2023-7-1,2023-1-1,expense,426,utilities,housing
2023-08-25,2023-8-1,2023-1-1,expense,469,utilities,housing
2023-09-25,2023-9-1,2023-1-1,expense,441,utilities,housing
2023-10-25,2023-10-1,2023-1-1,expense,477,utilities,housing
2023-11-25,2023-11-1,2023-1-1,expense,420,utilities,housing
2023-12-25,2023-12-1,2023-1-1,expense,463,utilities,housing
2023-01-25,2023-1-1,2023-1-1,expense,250,insurance,housing
2023-02-25,2023-2-1,2023-1-1,expense,250,insurance,housing
2023-03-25,2023-3-1,2023-1-1,expense,250,insurance,housing
2023-04-25,2023-4-1,2023-1-1,expense,250,insurance,housing
2023-05-25,2023-5-1,2023-1-1,expense,250,insurance,housing
2023-06-25,2023-6-1,2023-1-1,expense,250,insurance,housing
2023-07-25,2023-7-1,2023-1-1,expense,250,insurance,housing
2023-08-25,2023-8-1,2023-1-1,expense,250,insurance,housing
2023-09-25,2023-9-1,2023-1-1,expense,250,insurance,housing
2023-10-25,2023-10-1,2023-1-1,expense,250,insurance,housing
2023-11-25,2023-11-1,2023-1-1,expense,250,insurance,housing
2023-12-25,2023-12-1,2023-1-1,expense,250,insurance,housing
2023-01-25,2023-1-1,2023-1-1,expense,230,internet,utilities
2023-02-25,2023-2-1,2023-1-1,expense,230,internet,utilities
2023-03-25,2023-3-1,2023-1-1,expense,230,internet,utilities
2023-04-25,2023-4-1,2023-1-1,expense,230,internet,utilities
2023-05-25,2023-5-1,2023-1-1,expense,230,internet,utilities
2023-06-25,2023-6-1,2023-1-1,expense,230,internet,utilities
2023-07-25,2023-7-1,2023-1-1,expense,230,internet,utilities
2023-08-25,2023-8-1,2023-1-1,expense,230,internet,utilities
2023-09-25,2023-9-1,2023-1-1,expense,230,internet,utilities
2023-10-25,2023-10-1,2023-1-1,expense,230,internet,utilities
2023-11-25,2023-11-1,2023-1-1,expense,230,internet,utilities
2023-12-25,2023-12-1,2023-1-1,expense,230,internet,utilities
2023-01-25,2023-1-1,2023-1-1,expense,100,phone,utilities
2023-02-25,2023-2-1,2023-1-1,expense,100,phone,utilities
2023-03-25,2023-3-1,2023-1-1,expense,100,phone,utilities
2023-04-25,2023-4-1,2023-1-1,expense,100,phone,utilities
2023-05-25,2023-5-1,2023-1-1,expense,100,phone,utilities
2023-06-25,2023-6-1,2023-1-1,expense,100,phone,utilities
2023-07-25,2023-7-1,2023-1-1,expense,100,phone,utilities
2023-08-25,2023-8-1,2023-1-1,expense,100,phone,utilities
2023-09-25,2023-9-1,2023-1-1,expense,100,phone,utilities
2023-10-25,2023-10-1,2023-1-1,expense,100,phone,utilities
2023-11-25,2023-11-1,2023-1-1,expense,100,phone,utilities
2023-12-25,2023-12-1,2023-1-1,expense,100,phone,utilities
2023-01-03,2023-1-1,2023-1-1,expense,275,groceries,food
2023-01-10,2023-1-1,2023-1-1,expense,673,groceries,food
2023-01-22,2023-1-1,2023-1-1,expense,644,groceries,food
2023-01-30,2023-1-1,2023-1-1,expense,639,groceries,food
2023-02-05,2023-2-1,2023-1-1,expense,174,groceries,food
2023-02-22,2023-2-1,2023-1-1,expense,301,groceries,food
2023-02-28,2023-2-1,2023-1-1,expense,278,groceries,food
2023-03-02,2023-3-1,2023-1-1,expense,492,groceries,food
2023-03-18,2023-3-1,2023-1-1,expense,556,groceries,food
2023-03-31,2023-3-1,2023-1-1,expense,590,groceries,food
2023-03-30,2023-3-1,2023-1-1,expense,327,groceries,food
2023-04-01,2023-4-1,2023-1-1,expense,548,groceries,food
2023-04-07,2023-4-1,2023-1-1,expense,403,groceries,food
2023-04-17,2023-4-1,2023-1-1,expense,442,groceries,food
2023-04-23,2023-4-1,2023-1-1,expense,665,groceries,food
2023-04-27,2023-4-1,2023-1-1,expense,271,groceries,food
2023-05-05,2023-5-1,2023-1-1,expense,281,groceries,food
2023-05-14,2023-5-1,2023-1-1,expense,279,groceries,food
2023-05-28,2023-5-1,2023-1-1,expense,399,groceries,food
2023-06-09,2023-6-1,2023-1-1,expense,618,groceries,food
2023-06-14,2023-6-1,2023-1-1,expense,688,groceries,food
2023-06-17,2023-6-1,2023-1-1,expense,243,groceries,food
2023-06-30,2023-6-1,2023-1-1,expense,157,groceries,food
2023-07-04,2023-7-1,2023-1-1,expense,107,groceries,food
2023-07-09,2023-7-1,2023-1-1,expense,345,groceries,food
2023-07-22,2023-7-1,2023-1-1,expense,591,groceries,food
2023-07-29,2023-7-1,2023-1-1,expense,672,groceries,food
2023-08-07,2023-8-1,2023-1-1,expense,360,groceries,food
2023-08-12,2023-8-1,2023-1-1,expense,178,groceries,food
2023-08-28,2023-8-1,2023-1-1,expense,274,groceries,food
2023-09-07,2023-9-1,2023-1-1,expense,494,groceries,food
2023-09-17,2023-9-1,2023-1-1,expense,488,groceries,food
2023-09-25,2023-9-1,2023-1-1,expense,671,groceries,food
2023-10-09,2023-10-1,2023-1-1,expense,420,groceries,food
2023-10-14,2023-10-1,2023-1-1,expense,380,groceries,food
2023-10-22,2023-10-1,2023-1-1,expense,189,groceries,food
