date,transaction,amount,subcategory,category,name
2023-01-03,expense,275,groceries,food,groceries
2023-01-10,expense,673,groceries,food,groceries
2023-01-13,expense,130,restaurants,food,restaurants
2023-01-15,expense,760,gas,transport,gas
2023-01-19,expense,258,restaurants,food,restaurants
2023-01-22,expense,644,groceries,food,groceries
2023-01-25,expense,5500,rent,housing,rent
2023-01-25,expense,404,utilities,housing,utilities
2023-01-25,expense,250,insurance,housing,insurance
2023-01-25,expense,230,internet,utilities,internet
2023-01-25,expense,100,phone,utilities,phone
2023-01-25,expense,499,gym,misc,gym
2023-01-25,expense,119,spotify,misc,spotify
2023-01-25,expense,1000,investments,investments,investments
2023-01-25,income,26000,salary,income,salary
2023-01-30,expense,639,groceries,food,groceries
2023-02-04,expense,251,clothing,misc,clothing
2023-02-05,expense,174,groceries,food,groceries
2023-02-06,expense,50,medical,misc,medical
2023-02-10,expense,430,gifts,misc,gifts
2023-02-22,expense,301,groceries,food,groceries
2023-02-23,expense,418,entertainment,misc,entertainment
2023-02-25,expense,5500,rent,housing,rent
2023-02-25,expense,467,utilities,housing,utilities
2023-02-25,expense,250,insurance,housing,insurance
2023-02-25,expense,230,internet,utilities,internet
2023-02-25,expense,100,phone,utilities,phone
2023-02-25,expense,499,gym,misc,gym
2023-02-25,expense,119,spotify,misc,spotify
2023-02-25,expense,591,restaurants,food,restaurants
2023-02-25,expense,1000,investments,investments,investments
2023-02-25,income,26000,salary,income,salary
2023-02-28,expense,278,groceries,food,groceries
2023-02-28,expense,701,gas,transport,gas
2023-02-28,expense,402,restaurants,food,restaurants
2023-03-02,expense,492,groceries,food,groceries
2023-03-04,expense,150,medical,misc,medical
2023-03-05,expense,572,gifts,misc,gifts
2023-03-05,expense,435,restaurants,food,restaurants
2023-03-18,expense,556,groceries,food,groceries
2023-03-20,expense,626,gas,transport,gas
2023-03-25,expense,5500,rent,housing,rent
2023-03-25,expense,475,utilities,housing,utilities
2023-03-25,expense,250,insurance,housing,insurance
2023-03-25,expense,230,internet,utilities,internet
2023-03-25,expense,100,phone,utilities,phone
2023-03-25,expense,499,gym,misc,gym
2023-03-25,expense,119,spotify,misc,spotify
2023-03-25,expense,1000,investments,investments,investments
2023-03-25,income,26000,salary,income,salary
2023-03-29,expense,151,restaurants,food,restaurants
2023-03-30,expense,327,groceries,food,groceries
2023-03-30,expense,798,clothing,misc,clothing
2023-03-31,expense,590,groceries,food,groceries
2023-04-01,expense,548,groceries,food,groceries
2023-04-07,expense,403,groceries,food,groceries
2023-04-10,expense,568,clothing,misc,clothing
2023-04-10,expense,409,restaurants,food,restaurants
2023-04-14,expense,437,restaurants,food,restaurants
2023-04-17,expense,442,groceries,food,groceries
2023-04-23,expense,665,groceries,food,groceries
2023-04-25,expense,5500,rent,housing,rent
2023-04-25,expense,423,utilities,housing,utilities
2023-04-25,expense,250,insurance,housing,insurance
2023-04-25,expense,230,internet,utilities,internet
2023-04-25,expense,100,phone,utilities,phone
2023-04-25,expense,499,gym,misc,gym
2023-04-25,expense,119,spotify,misc,spotify
2023-04-25,expense,1000,investments,investments,investments
2023-04-25,income,26000,salary,income,salary
2023-04-27,expense,271,groceries,food,groceries
2023-05-02,expense,716,gas,transport,gas
2023-05-05,expense,281,groceries,food,groceries
2023-05-14,expense,279,groceries,food,groceries
2023-05-16,expense,414,restaurants,food,restaurants
2023-05-17,expense,753,entertainment,misc,entertainment
2023-05-25,expense,5500,rent,housing,rent
2023-05-25,expense,472,utilities,housing,utilities
2023-05-25,expense,250,insurance,housing,insurance
2023-05-25,expense,230,internet,utilities,internet
2023-05-25,expense,100,phone,utilities,phone
2023-05-25,expense,499,gym,misc,gym
2023-05-25,expense,119,spotify,misc,spotify
2023-05-25,expense,1000,investments,investments,investments
2023-05-25,income,26000,salary,income,salary
2023-05-26,expense,50,medical,misc,medical
2023-05-28,expense,399,groceries,food,groceries
2023-06-07,expense,354,restaurants,food,restaurants
2023-06-09,expense,618,groceries,food,groceries
2023-06-09,expense,313,clothing,misc,clothing
2023-06-14,expense,688,groceries,food,groceries
2023-06-17,expense,243,groceries,food,groceries
2023-06-17,expense,680,gas,transport,gas
2023-06-25,expense,5500,rent,housing,rent
2023-06-25,expense,446,utilities,housing,utilities
2023-06-25,expense,250,insurance,housing,insurance
2023-06-25,expense,230,internet,utilities,internet
2023-06-25,expense,100,phone,utilities,phone
2023-06-25,expense,499,gym,misc,gym
2023-06-25,expense,119,spotify,misc,spotify
2023-06-25,expense,1000,investments,investments,investments
2023-06-25,income,26000,salary,income,salary
2023-06-27,expense,392,restaurants,food,restaurants
2023-06-30,expense,157,groceries,food,groceries
2023-06-30,expense,135,entertainment,misc,entertainment
2023-07-03,expense,528,restaurants,food,restaurants
2023-07-04,expense,107,groceries,food,groceries
2023-07-09,expense,345,groceries,food,groceries
2023-07-15,expense,104,restaurants,food,restaurants
2023-07-18,expense,200,medical,misc,medical
2023-07-20,expense,261,clothing,misc,clothing
2023-07-22,expense,591,groceries,food,groceries
2023-07-25,expense,5500,rent,housing,rent
2023-07-25,expense,426,utilities,housing,utilities
2023-07-25,expense,250,insurance,housing,insurance
2023-07-25,expense,230,internet,utilities,internet
2023-07-25,expense,100,phone,utilities,phone
2023-07-25,expense,499,gym,misc,gym
2023-07-25,expense,119,spotify,misc,spotify
2023-07-25,expense,1000,investments,investments,investments
2023-07-25,income,26000,salary,income,salary
2023-07-29,expense,672,groceries,food,groceries
2023-07-31,expense,432,restaurants,food,restaurants
2023-08-02,expense,300,restaurants,food,restaurants
2023-08-07,expense,360,groceries,food,groceries
2023-08-09,expense,50,medical,misc,medical
2023-08-10,expense,781,gas,transport,gas
2023-08-12,expense,178,groceries,food,groceries
